Cosine_th,Density (gr/cm3),Energy (GeV),Flx_JPsi (1/GeV/sr/s/cm2),Height (km),Slant depth (gr/cm2)
0.4,5.846254342848829e-07,3185710.362046612,5.495508947834752e-37,57.91816423608221,1.144390379252029
0.4,4.787153501206873e-07,3185710.362046612,4.280728174249174e-37,59.72743634107019,0.9156620035438856
0.4,3.9330096232361826e-07,3185710.362046612,3.338116695477931e-37,61.48538805810043,0.7326493825315133
0.4,3.242063752402946e-07,3185710.362046612,2.6063173168389877e-37,63.1823437736433,0.5862153454509714
0.4,2.660853403532683e-07,3185710.362046612,2.0355960811024374e-37,64.87835709852861,0.4690489604383453
0.4,2.1877121991643676e-07,3185710.362046612,1.5916746200500073e-37,66.51939837184561,0.3753005256439381
0.4,1.8085202739874955e-07,3185710.362046612,1.2465095660641126e-37,68.07483225941618,0.3002895143760382
0.4,1.4936010688568303e-07,3185710.362046612,9.769828716539072e-38,69.59478343371015,0.2402708930116132
0.4,1.2320126527524262e-07,3185710.362046612,7.663473056712694e-38,71.07859415211772,0.19224814475641475
0.4,1.0168885623170958e-07,3185710.362046612,6.016721819899112e-38,72.5168287857076,0.15382366419430174
0.4,8.398829074272665e-08,3185710.362046612,4.726495390510059e-38,73.93370160042797,0.12307905335649172
0.4,7.02017540734675e-08,3185710.362046612,3.7175567199584674e-38,75.27580081377563,0.09847934291823547
0.4,5.920700511455108e-08,3185710.362046612,2.9273333666785083e-38,76.54668165233223,0.07879635662712776
0.4,4.974691673484896e-08,3185710.362046612,2.3064733631398567e-38,77.78728497358016,0.06304739282089387
0.4,4.1762739770564845e-08,3185710.362046612,1.8222752800853584e-38,78.94720210748198,0.050446161620416936
0.4,0.0011903770941538766,5310618.006107533,4.343702876624478e-43,1.0,2244.4005726523583
0.4,0.0009894249946663905,5310618.006107533,8.576243104898235e-42,2.604086529141264,1795.8140529398013
0.4,0.0008191804046681327,5310618.006107533,1.5050987271083242e-40,4.208162680230705,1436.8861566119367
0.4,0.0006783746971259515,5310618.006107533,1.820208196583803e-39,5.737700482796273,1149.6968874272625
0.4,0.0005549316220662276,5310618.006107533,1.4574357202276075e-38,7.265122605733732,919.907904239706
0.4,0.0004515874768942049,5310618.006107533,7.733341647210727e-38,8.731897910666525,736.0466585034802
0.4,0.00036004852188731333,5310618.006107533,2.9248899585188427e-37,10.236278575929711,588.9336106334487
0.4,0.00028511741867918647,5310618.006107533,8.312379508944488e-37,11.710930726493142,471.22392816638336
0.4,0.00022444424487899316,5310618.006107533,1.8515714354173254e-36,13.197117482438278,377.0407843385282
0.4,0.0001766172501083161,5310618.006107533,3.411067283165423e-36,14.716220003688926,301.68194897865584
0.4,0.0001405342598424898,5310618.006107533,5.374218183499714e-36,16.234034891457018,241.3850228410425
0.4,0.00011290728538447764,5310618.006107533,7.432943744820599e-36,17.750544345037387,193.13959436165345
0.4,9.066033567780408e-05,5310618.006107533,9.213801701010931e-36,19.291884680321733,154.53694049091388
0.4,7.224005752527718e-05,5310618.006107533,1.0424439144944684e-35,20.868920688905252,123.64976769897255
0.4,5.7793192136045505e-05,5310618.006107533,1.098684326894048e-35,22.382639711248583,98.93598904857842
